General : Start date,"4/15/2024 11:06 AM"
General : End date,"4/15/2024 11:07 AM"
Specimen notes : Specimen note 1,""

Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","0.00936"
"0.10000","0.00237","0.01359"
"0.20000","0.01337","-0.00228"
"0.30000","0.02376","-0.00120"
"0.40000","0.03424","-0.01451"
"0.50000","0.04398","0.01481"
"0.60000","0.05408","-0.00621"
"0.70000","0.06409","-0.01618"
"0.80000","0.07391","0.01184"
"0.90000","0.08441","-0.00404"
"1.00000","0.09410","0.01048"
"1.10000","0.10397","-0.00234"
"1.20000","0.11437","0.00055"
"1.30000","0.12375","0.02220"
"1.40000","0.13399","0.00591"
"1.50000","0.14430","-0.00216"
"1.60000","0.15380","0.00650"
"1.70000","0.16409","0.00601"
"1.80000","0.17405","-0.00694"
"1.90000","0.18407","0.00578"
"2.00000","0.19406","-0.00494"
"2.10000","0.20388","0.00574"
"2.20000","0.21450","0.00101"
"2.30000","0.22408","-0.00807"
"2.40000","0.23403","-0.00225"
"2.50000","0.24439","0.00466"
"2.60000","0.25384","0.01256"
"2.70000","0.26402","0.00720"
"2.80000","0.27433","0.00811"
"2.90000","0.28378","0.02192"
"3.00000","0.29411","0.02496"
"3.10000","0.30407","0.00220"
"3.20000","0.31411","0.01235"
"3.30000","0.32405","0.00782"
"3.40000","0.33388","0.01115"
"3.50000","0.34455","-0.00597"
"3.60000","0.35403","-0.01936"
"3.70000","0.36395","0.01850"
"3.80000","0.37428","0.00048"
"3.90000","0.38388","0.00327"
"4.00000","0.39401","-0.00580"
"4.10000","0.40436","0.01208"
"4.20000","0.41384","0.01962"
"4.30000","0.42410","0.00577"
"4.40000","0.43403","0.01492"
"4.50000","0.44423","0.01469"
"4.60000","0.45404","0.00901"
"4.70000","0.46395","0.01610"
"4.80000","0.47444","-0.00344"
"4.90000","0.48403","0.02786"
"5.00000","0.49385","0.01333"
"5.10000","0.50433","0.00877"
"5.20000","0.51390","0.00856"
"5.30000","0.52402","0.00978"
"5.40000","0.53424","0.00093"
"5.50000","0.54384","0.01642"
"5.60000","0.55414","-0.00351"
"5.70000","0.56393","0.01013"
"5.80000","0.57426","0.00698"
"5.90000","0.58421","0.01015"
"6.00000","0.59404","0.02078"
"6.10000","0.60449","0.01244"
"6.20000","0.61413","0.02188"
"6.30000","0.62391","0.01361"
"6.40000","0.63423","0.01627"
"6.50000","0.64384","0.02287"
"6.60000","0.65415","0.02723"
"6.70000","0.66417","0.01772"
"6.80000","0.67385","0.01670"
"6.90000","0.68413","0.03527"
"7.00000","0.69395","0.01908"
"7.10000","0.70420","0.01527"
"7.20000","0.71417","0.01804"
"7.30000","0.72397","0.02415"
"7.40000","0.73443","0.01807"
"7.50000","0.74410","0.01345"
"7.60000","0.75394","0.02189"
"7.70000","0.76441","0.02691"
"7.80000","0.77377","0.04275"
"7.90000","0.78417","0.02306"
"8.00000","0.79421","0.01604"
"8.10000","0.80384","0.04023"
"8.20000","0.81405","0.03623"
"8.30000","0.82404","0.04185"
"8.40000","0.83422","0.02981"
"8.50000","0.84409","0.03030"
"8.60000","0.85397","0.05123"
"8.70000","0.86439","0.01883"
"8.80000","0.87402","0.03964"
"8.90000","0.88386","0.03977"
"9.00000","0.89446","0.04338"
"9.10000","0.90382","0.03589"
"9.20000","0.91425","0.03005"
"9.30000","0.92426","0.03809"
"9.40000","0.93386","0.06253"
"9.50000","0.94402","0.03644"
"9.60000","0.95404","0.05081"
"9.70000","0.96425","0.04128"
"9.80000","0.97413","0.06135"
"9.90000","0.98390","0.05304"
"10.00000","0.99431","0.04785"
"10.06400","1.00005","0.04182"
"10.06500","1.00013","0.04194"
"10.06600","1.00022","0.04207"
"10.16600","1.00191","0.05338"
"10.26600","1.00155","0.05872"
"10.36600","1.00112","0.06508"
"10.46600","1.00049","0.05434"
"10.56600","1.00001","0.05615"
"10.66600","0.99990","0.05887"
"10.76600","0.99988","0.05268"
"10.86600","0.99988","0.04240"
"10.96600","0.99988","0.05130"
"11.06600","0.99988","0.04959"
"11.16600","0.99988","0.04933"
"11.26600","0.99988","0.03959"
"11.36600","0.99997","0.05247"
"11.46600","0.99996","0.06120"
"11.56600","0.99996","0.04806"
"11.66600","0.99996","0.05195"
"11.76600","0.99996","0.03370"
"11.86600","0.99996","0.06265"
"11.96600","0.99996","0.04836"
"12.06600","0.99996","0.04241"
"12.16600","0.99996","0.05291"
"12.26600","0.99996","0.04750"
"12.36600","0.99996","0.06429"
"12.46600","0.99996","0.04568"
"12.56600","0.99996","0.04315"
"12.66600","0.99996","0.05606"
"12.76600","0.99996","0.05331"
"12.86600","0.99996","0.05943"
"12.96600","0.99996","0.04332"
"13.06600","0.99996","0.05326"
"13.16600","0.99996","0.05037"
"13.26600","0.99996","0.03298"
"13.36600","0.99996","0.05509"
"13.46600","0.99996","0.04500"
"13.56600","0.99996","0.05552"
"13.66600","0.99996","0.04166"
"13.76600","0.99996","0.04124"
"13.86600","0.99996","0.04380"
"13.96600","0.99996","0.04668"
"14.06600","0.99996","0.04124"
"14.16600","0.99996","0.04178"
"14.26600","0.99996","0.05246"
"14.36600","0.99996","0.05471"
"14.46600","0.99996","0.05439"
"14.56600","0.99996","0.04050"
"14.66600","0.99996","0.05922"
"14.76600","0.99996","0.05181"
"14.86600","0.99996","0.04943"
"14.96600","0.99996","0.03041"
"15.06600","0.99996","0.05391"
"15.16600","0.99996","0.03671"
"15.26600","0.99996","0.04229"
"15.36600","0.99996","0.04194"
"15.46600","0.99996","0.04174"
"15.56600","0.99996","0.06052"
"15.66600","0.99996","0.03520"
"15.76600","0.99996","0.04361"
"15.86600","0.99996","0.05126"
"15.96600","0.99996","0.05151"
"16.06600","0.99996","0.05267"
"16.16600","0.99996","0.04589"
"16.26600","0.99996","0.05379"
"16.36600","0.99996","0.05432"
"16.46600","0.99996","0.04791"
"16.56600","0.99996","0.04488"
"16.66600","0.99996","0.04264"
"16.76600","0.99996","0.04741"
"16.86600","0.99996","0.03860"
"16.96600","0.99996","0.02999"
"17.06600","0.99996","0.05314"
